ID number,Both lab,# Country/project,Training,Category,"A (MY FS), B (MY O), C (ST)",A1_DonorName,A2_Agency,A3_DonorCat,Program,A4_Project,A5_Statement,A6_Keywords,A7_ImplOrg,A8_ImplCat,A9_ANGOLA,A9_BENIN,A9_BOTSWANA,A9_BURKINA FASO,A9_BURUNDI,A9_CABO VERDE,A9_CAMEROON,A9_CAR,A9_CHAD,A9_COMOROS,A9_CONGO,A9_COTE D'IVOIRE,A9_DRC,A9_DJIBOUTI,A9_EQ GUINEA,A9_ERITREA,A9_ETHIOPIA,A9_GABON,A9_GAMBIA,A9_GHANA,A9_GUINEA,A9_GUINEA-BISSAU,A9_KENYA,A9_LESOTHO,A9_LIBERIA,A9_MADAGASCAR,A9_MALAWI,A9_MALI,A9_MAURITANIA,A9_MAURITIUS,A9_MOZAMBIQUE,A9_NAMIBIA,A9_NIGER,A9_NIGERIA,A9_RWANDA,A9_SAO TOME AND PRINCIPE,A9_SENEGAL,A9_SEYCHELLES,A9_SIERRA LEONE,A9_SOMALIA,A9_SOUTH AFRICA,A9_SOUTH SUDAN,A9_SUDAN,A9_SWAZILAND,A9_TOGO,A9_UGANDA,A9_TANZANIA,A9_ZAMBIA,A9_ZIMBABWE,A9a_Level ,A10_REC,A10_REC2,A11_YearInit,A12_YearEnd,A13_TimeFrame,A14_LimitedRequest,A15_OtherCharacteristics,B1_Project focus,B2_Purpose_P,B3_Purpose_S,B4_Activity_1,B4_Activity_2,B4_Activity_3,B4_Activity_4,B4_Activity_5,B4_Activity_6,B4_Activity_7,B4_Activity_8,B4_Activity_9,B4_Activity_10,B4_Activity_11,B4_Activity_12,B4_Activity_13,B4_Activity_14,B4_Activity_15,B4_Activity_16,B4_Activity_17,B5_MarketFocus,B6_InformalMarkets,C1_HazardCat_Mycotoxins,C1_HazardCat_Microbiological,C1_HazardCat_NatChemical,C1_HazardCat_ManChem,C1_HazardCat_Unspecified,C2_HazardName,C3_CommodityCat_1 ,C3_CommodityCat_2,C3_CommodityCat_3,C3_CommodityCat_4,C3_CommodityCat_5,C3_CommodityCat_6,C3_CommodityCat_7,C3_CommodityCat_8,C3_CommodityCat_9,C3_CommodityCat_10,C3_CommodityCat_11Unspecified,C4_CommodityName,C5_ValueChain,D1_VCParticipantsNames,D2_VCPart_1,D2_VCPart_2,D2_VCPart_3,D2_VCPart_4,D2_VCPart_5,D2_VCPart_6,D2_VCPart_9,D3_DonorPartNames,D4_DonorP_1,D4_DonorP_2,D4_DonorP_3,D4_DonorP_4,D4_DonorP_5,D4_DonorP_6,D4_DonorP_7,D4_DonorP_8,D4_DonorP_9,D5_Non-DonorPartNames,D6_Non-DonorP_1,D6_Non-DonorP_2,D6_Non-DonorP_3,D6_Non-DonorP_4,D6_Non-DonorP_5,D6_Non-DonorP_6,D6_Non-DonorP_7,D6_Non-DonorP_9,E1_Total_Budget,E2_FSBudget,E3_BudgetCat,Running in 2010,Running in 2011,Running in 2012,Running in 2013,Running in 2014,Running in 2015,Running in 2016,Running in 2017,Long-term project,Short-term project/TA
AESA-1,0,4,0,1,A,Alliance for Accelerating Excellence in Science in Africa (AESA) ,.,8,Africa Institution Initiative,Afrique One-ASPIRE: Food borne diseases and nutritional illness TTP (4),"The Food borne diseases and nutritional illness TTP (4) addresses the epidemiological links between food and human health including infectious and noninfectious diseases, and show how these factors will influence the effectiveness of control interventions based on risk. Research activities included ""Senegal: the implementation of hygiene practices increases the economic profitability of dibiteries,"" ",one health; nutrition; research; zoonosis; animal source foods,"Centre Suisse de Recherches Scientifiques (CSRS), Cote d'Ivoire and National Institute for Medical Research (NIM2R), Tanzania",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,9,9,2016,2021,.,.,.,1,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,"E.coli, Salmonella, Taenia solium, Toxoplasma spp., ",0,0,1,0,1,0,0,0,0,0,0,"meat, dairy","meat (including bush meat), dairy for human consumption",farmers; consumers,1,0,0,0,1,0,0,Wellcome Trust; African Academy of Sciences (AAS); Ukaid,0,1,1,1,0,0,0,0,0,"Nelson Mandela African Institute of Science and Technology (NM-AIST, Tanzania); Sokoine University of Agriculture (SUA, Tanzania); Tanzania Wildlife Research Institute (TAWIRI, Tanzania); Kilimanjaro Clinical Research Institute –Kilimanjaro Christian Medical Centre (KCRI-KCMC, Tanzania); Muhimbili Health Alliance Science University (MUHAS, Tanzania) and University of Dar es Salaam (UDSM, Tanzania); Biosciences eastern and central Africa – International Livestock Research Institute (BecA-ILRI Hub, Kenya); Ecole Inter Etats des Sciences et Médécine Vétérinaires de Dakar (EISMV, Senegal); Swiss-TPH.",0,1,1,0,0,0,0,0,8217402.42,775293.49,6,0,0,0,0,0,0,1,1,1,0
AfDB-1,2,5,2,2,B,African Development Bank,.,7,,Strengthening Institutions for Risk Management of Transboundary Animal Diseases (TADs) in the SADC Region,"To establish an efficient, equitable and sustainable epidemio-surveillance system that would enable the region and the participating countries to produce risk maps of the strategic diseases and formulate cost-effective control strategies for them. Project seeks to improve the livelihoods of producers and consumers by enhancing their access to local, national, regional and international livestock and meat markets and to safe quality products. Aims to sustain and strengthen the capacities of the national and regional veterinary laboratories and epidemio-surveillance units as well as deepening community and farmer awareness on risks.",animal source foods; meat; zoonosis ,Southern African Development Community (SADC) Secretariat,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,7,9,2008,2013,.,.,.,4,4,9,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,2,2,0,1,0,0,0,"microbiological, including bovine tuberculosis (TB)",0,0,1,0,1,0,0,0,0,0,0,"meat, dairy","meat, dairy for human consumption",livestock farmers and traders; including subsistence and commercial smallholder farmers,1,0,1,0,0,0,0,.,0,0,0,0,0,0,0,0,1,"Ministries for Livestock Development, Governments of Angola, Malawi, Mozambique, Tanzania, Zambia; Central Veterinary Diagnostic Laboratories; SADC Secretariat",1,0,0,0,0,0,0,0,9140000,.,6,1,1,1,1,0,0,0,0,1,0
AfDB-2,0,1,0,2,B,African Development Bank,African Development Fund,7,,"Marketing Infrastructure, Value Addition ","The specific objective of the ADF component is to enhance rural incomes and food security through improved market access (feeder roads, market centers and storage, community management of infrastructure), increased share of value added of small­ and medium scale producers and processors including training and matching grants for equipment.",infrastructure; cold-chain,"Office of the Prime Minister, Tanzania",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,9,9,2012,2015,.,.,.,2,2,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,unspecified,0,0,0,0,0,0,0,0,0,0,1,unspecified,unspecified,.,0,0,0,0,0,0,1,.,0,0,0,0,0,0,0,0,1,.,0,0,0,0,0,0,0,1,47611492,.,6,0,0,1,1,1,1,0,0,1,0
AfDB-3,0,1,1,2,B,African Development Bank,African Development Fund,7,,Fisheries sector support project ,"The project will result in an increase of income from artisanal fishery and fishery related activities, like fishing, processing, marketing, servicing, and trade. Food safety of fish will be increased through proper handling of the product, and Post Harvest Losses of value will be reduced by at least 30%. Through the Artisanal Fishery Vessel Monitoring System loss of life at sea will be prevented, and fishery and other marine regulations will be enforced.",fish; fisheries,"Ministere des Peches, Angola",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,9,2014,2017,.,.,.,3,4,2,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,unspecified,0,0,0,1,0,0,0,0,0,0,0,fish,"fish, fish products",fishers,1,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,1,government,1,0,0,0,0,0,0,0,28548800,.,6,0,0,0,0,1,1,1,1,1,0
AfDB-4,0,1,1,2,B,African Development Bank,Africa Trade Fund (AfTra),7,,Trade and Industrial Capacity Building in the Apiculture Sector (TICBAS) ,"Improve the capacity of traders, processors and producers of honey and bee products to comply with SPS measures. This will allow them, among others, to upgrade within the honey global value chain by exporting table honey instead of bulk honey, thereby capturing more of the value.",bees; honey,"SNV Netherlands Development Organization, Zambia",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,9,9,2015,2018,.,.,.,3,2,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,1,unspecified,0,0,0,0,0,0,0,0,0,1,0,honey,honey,farmers; processors; traders ,1,1,1,0,0,0,0,.,0,0,0,0,0,0,0,0,1,.,0,0,0,0,0,0,0,1,570583,.,4,0,0,0,0,0,1,1,1,1,0
AfDB-5,0,0,0,2,B,African Development Bank,Africa Trade Fund (AfTra),7,,Harmonization of African Standards for Agriculture and Food Products,The project aims to harmonise standards for agriculture and food products across Africa. This will provide a clear and predictable policy framework for regional trade so that institutions that facilitate exchange and mitigate the inherent risks associated with food production.,standards; policy; trade; regional,African Organization for Standardization (ARSO),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,2015,2018,.,.,.,3,4,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,unspecified,0,0,0,0,0,0,0,0,0,0,1,unspecified,unspecified,.,0,0,0,0,0,0,1,.,0,0,0,0,0,0,0,0,1,.,0,0,0,0,0,0,0,1,270161,.,3,0,0,0,0,0,1,1,1,1,0
AfDB-6,0,1,1,2,B,African Development Bank,.,7,,Zambia Cashew Infrastructure Development Project  (CIDP),"To contribute to poverty reduction, improved household incomes through improved cashew production and processing. Includes (1) Support to Cashew Value Chain (includes infrastructure for cashew-processing and marketing, development of National Cashew Quality and Safety Standards through Zambia Bureau of Standards.); (2) Capacity Building (includes training of cashew processors and smallholder farmers, and development of quality control management system), and (3) project management. ",,Zambia Ministry of Agriculture and Livestock,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,9,9,2015,2020,.,.,.,3,4,3,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3,2,0,0,0,0,1,unspecified,0,0,0,0,0,1,0,0,0,0,0,cashew,cashew for human consumption,cashew processors; cashew smallholder farmers,1,1,0,0,0,0,0,Government of Zambia,0,1,0,0,0,0,0,0,0,"Ministry of Agriculture and Livestock (MAL), Government of Zambia; Provincial Agriculture Coordination Office (PACO-Western Province), Zambia; Zambia Agriculture Research Institute (ZARI) ",1,0,0,0,0,0,0,0,55420000,4000000,6,0,0,0,0,0,1,1,1,1,0
AfDB-7,2,1,2,2,B,African Development Bank,.,7,,Uganda Value Chain Development Project,"To accelerate socioeconomic transformation through construction of irrigation infrastructure, value chains development, and export promotion. Implemented along commodity value chain framework, with considerable attention to regulatory reforms, focus on Rice, Maize and Dairy/Beef value chains. Provide postharvest facilities and services and agri infrastructure to farmers; Build capacity of the network of community based village buyer agents to provide additional services such as SPS standards, inputs; Build capacity of stakeholders to comply and conform to quality related issues with its exportable commodities; Strengthen SPS and Quality Infrastructure to meet the export requirements; Support Uganda National Bureau of Standards (UNBS) in ensuring standardization of quality across commodities; Establishment of an appropriate food safely laboratory for conformity assessment.",trade; value chain; SPS; quality; regulatory; laboratory; export,"Uganda Ministry of Agriculture, Animal Industry and Fisheries (MAAIF)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,9,9,2017,2023,.,.,.,3,4,3,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,3,2,0,0,0,0,1,unspecified,1,0,1,0,1,0,0,0,0,0,0,"rice, maize, dairy/beef","rice, maize, dairy/beef",Farmer Cooperatives and Associations,1,0,0,0,0,0,0,Government of Uganda,0,1,0,0,0,0,0,0,0,"Ministry of Agriculture, Animal Industry and Fisheries (MAAIF), Government of Uganda; National Fertilizer Board and Bureau of Standards (UNBS), Uganda; Uganda Seed Trade Association (USTA); National Agricultural Research Organisation (NARO); Dairy Development Authority (DDA); the National Animal Genetic Resources Centre and Data Bank (NAGRIC&DB); and, the Private Sector Foundation of Uganda (PSFU) and its related agribusiness associations.",1,0,1,0,0,1,0,0,78000000,15000000,6,0,0,0,0,0,0,0,1,1,0
AgResults-1,0,1,1,1,A,AgResults,.,8,,Aflasafe™ Pull Mechanism Pilot Project to Incentivize Adoption of aflasafe™ ,"Incentivize organizations with contract farming arrangements to work with smallholder maize farmers to adopt aflasafe™, building a core group of participants to anchor the market for aflasafe™. Features payments for performance that incentivize ‘implementers’ to help smallholder farmers to produce maize treated with aflasafe™. The pull mechanism also features technical assistance with the goal of increasing yields of participating farmers.",aflatoxin; aflasafe; maize; incentives; maize,IITA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,9,2013,2017,.,.,.,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,1,0,0,0,0,aflatoxin,1,0,0,0,0,0,0,0,0,0,0,maize,maize for human and animal consumption,maize farmers; Poultry Association of Nigeria,1,0,1,0,0,0,0,Australia/AUSAID; Bill and Melinda Gates Foundation (BMGF); Canada/Finance Canada; United Kingdom/DFID; United States/USAID,0,1,1,0,0,0,0,0,0,"National Agency for Food and Drugs Administration and Control (NAFDAC), Government of Nigeria; Commercial Agriculture Development Project of the Federal Ministry of Agriculture and Water Resources; Manufacturer Association of Nigeria; Nigeria Export Promotion Council",1,0,1,0,0,0,0,0,12680000,12680000,6,0,0,0,1,1,1,1,1,1,0
ASTF-1,0,8,1,2,B,African Solidarity Trust Fund,.,8,GCP,"Strengthening controls of food safety threats, plant and animal pests and diseases for agricultural productivity and trade in Southern Africa","Strengthening controls of food safety threats, plant and animal pests and diseases for agricultural productivity and trade in Southern Africa",,FAO,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,7,9,2014,2017,.,.,.,3,4,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,unspecified,0,0,0,0,0,0,0,0,0,0,1,unspecified,unspecified,.,0,0,0,0,0,0,1,.,0,0,0,0,0,0,0,0,1,National governments,1,0,0,0,0,0,0,0,4000000,.,5,0,0,0,0,1,1,1,1,1,0
